# SYSTEM INFORMATION FOLLOWS
# emon db : unknown
# num_packages : 1
# num_modules_per_package : 1
# num_cores_per_package : 16
# num_logic_processor_per_core : 2
# device core : num_events 3, num_unit 1
# tsc_freq : 2995.20 MHz
# ufs_freq : N/A MHz
# END OF SYSTEM INFORMATION
# GROUPING INFORMATION FOLLOWS
# group 0 : INST_RETIRED.ANY, CPU_CLK_UNHALTED.THREAD, CPU_CLK_UNHALTED.REF_TSC
# END OF GROUPING INFORMATIONS
# START OF COLLECTION
timestamp;;package0;;;;;;
;;core;;;;;;
epoch;timestamp;CPU0;;;CPU1;;;
;;INST_RETIRED.ANY;CPU_CLK_UNHALTED.THREAD;CPU_CLK_UNHALTED.REF_TSC;INST_RETIRED.ANY;CPU_CLK_UNHALTED.THREAD;CPU_CLK_UNHALTED.REF_TSC;
1663594622392;62834378;302298;12137229;6911268;160494;4876405;2711202;
1663594622408;46826955;248169;9758241;5584098;60162;279719;162240;
1663594622423;46780035;127312;2357227;1516476;22769;36856;25740;
1663594622439;46757875;110574;97021;142974;22693;35878;24336;
1663594622455;46754139;104163;86400;122850;22544;36940;20436;
1663594622470;46769717;104137;84916;121056;22544;36434;20280;
1663594622486;46806835;106616;130840;157560;36930;92531;51402;
1663594622502;46751116;6323420;5994171;3479658;53589;125955;101088;
1663594622517;46740969;104219;95241;126828;22818;41885;23244;
1663594622533;46769975;104228;86312;123786;22558;37400;20826;
1663594622548;46769199;104239;85189;121446;22544;36667;20358;
1663594622564;46790455;105852;122095;142818;62759;111373;102492;
1663594622580;46765084;761589;1352000;835068;1215110;2013964;1119456;
1663594622595;46753239;105955;97976;130650;22904;42291;23478;
1663594622611;46767931;104115;88524;126984;22549;39187;21762;
1663594622627;46817517;61496;169101;176436;92813;138578;76986;
1663594622642;46720534;947244;959026;681876;31911;123040;68328;
1663594622658;46764629;104084;86498;122148;23063;39976;22230;
1663594622673;46776889;104268;85051;127842;22550;37399;20748;
1663594622689;46761301;104180;85060;118248;22558;36959;20436;
1663594622705;46809875;51731;78103;138450;95186;100230;112944;
1663594622720;46735290;103369;85206;127062;21237;32684;18174;
1663594622736;46776423;104894;86344;133536;22544;37383;20748;
1663594622752;46775033;104148;85031;137436;22558;37808;21060;
1663594622767;46763855;113128;104839;130572;22544;36793;20436;
1663594622783;46760557;118554;99739;179868;22589;36445;20280;
1663594622798;46784207;98596;98411;133614;43397;88228;92196;
1663594622814;46766240;120514;128462;154128;31094;76466;42510;
1663594622830;46781911;45979;128042;150540;101402;114138;110058;
1663594622845;46761550;96191;106898;137280;59581;277044;201942;
1663594622861;46634298;1661396;1727508;1038180;28828;40499;22464;
1663594622877;46775469;104475;85636;130104;22738;37212;20826;
1663594622892;46787919;105179;87449;149448;22552;37244;20748;
1663594622908;46764413;59447;99519;127920;95311;99526;55224;
1663594622923;46744444;119124;102243;185796;21263;29883;16614;
1663594622943;59537621;232170;22785703;12767742;112257;111698;135252;
1663594622959;46732760;110212;101250;144144;780495;489298;360204;
1663594622975;46761611;104236;86343;120042;22724;38141;21216;
1663594622990;46788729;104407;85218;136968;22550;36989;20514;
1663594623006;46764503;104357;84417;129948;22544;36429;20358;
1663594623021;46759107;104286;83897;118170;22550;36383;20202;
1663594623037;46784147;114687;106847;131274;22544;36357;20280;
1663594623053;46765023;119989;103831;193206;22589;36392;20202;
1663594623068;46814125;26211288;27058500;15155790;20338;31145;18720;
1663594623084;46737067;104542;82283;147810;22859;33992;27768;
1663594623100;46743813;104374;82311;122226;22550;35305;23868;
1663594623115;46784255;49943;74689;114348;95250;99295;99528;
1663594623131;46764904;99810;98644;129012;58579;86319;96408;
1663594623146;46791290;155875;258602;249288;26302190;27084792;15057198;
1663594623162;46749665;104245;81998;151554;22994;34268;27846;
1663594623178;46750085;113021;92077;132834;22544;35030;23712;
1663594623193;46770789;110491;108992;188760;40579;83824;95862;
1663594623209;46761956;103969;82078;121290;21251;30103;16848;
1663594623224;46768447;104643;85320;120042;22544;36327;20124;
1663594623240;46770981;104447;85302;120198;22549;36551;20280;
1663594623256;46774071;105873;85305;123318;22544;36582;20280;
1663594623271;46780707;104366;83873;132522;22558;36441;20202;
1663594623287;46762203;104270;83142;123396;22544;36155;20124;
1663594623303;46777993;104337;85838;130728;22544;36389;20202;
1663594623318;46776989;109413;112940;138060;37884;93524;63024;
1663594623334;46806308;506683;792341;598026;125227;240699;195312;
1663594623349;46731728;212546;471433;335244;118742;372418;207090;
1663594623365;46779225;51911;137069;150462;99566;120619;102570;
1663594623381;46763306;94600;97877;133614;45734;86202;98202;
1663594623396;46778452;7380966;5107523;2912832;131537;300519;166998;
1663594623412;46752435;104177;103651;147186;141420;169030;93990;
1663594623428;46756035;105453;91065;129324;22679;38719;21450;
1663594623443;46771003;104181;85632;129792;22558;37041;20592;
1663594623459;46789335;112963;114571;149994;22544;36862;20592;
1663594623474;46741617;120236;118238;213174;22589;36777;20436;
1663594623490;46771003;104198;84317;122616;22589;37014;20592;
1663594623506;46770009;104122;83924;121602;22548;36598;20280;
1663594623521;46791743;49758;78676;118170;95921;113901;108030;
1663594623537;46742872;103512;84371;118950;21269;32455;18018;
1663594623553;46773821;104560;85339;122226;22549;38258;21216;
1663594623568;46777337;96572;96677;129558;41521;89027;99450;
1663594623584;46771897;105776;87737;130416;22513;40978;22854;
1663594623599;46767559;112955;92745;128154;22550;38172;21138;
1663594623615;46771835;118371;101564;190866;22544;37395;20748;
1663594623631;46772939;98916;98242;131898;45028;89976;102414;
1663594623646;46756376;103202;81545;119262;21359;33366;18564;
1663594623662;46783233;104186;84789;133458;22544;36709;20436;
1663594623678;46767227;104930;84587;129246;22544;36235;20046;
1663594623693;46760829;105891;85279;119574;22544;36516;20202;
1663594623709;46773519;104253;83234;122460;22544;36859;20514;
1663594623724;46782629;49703;71300;114738;95283;98508;102882;
1663594623740;46756302;112055;89789;121836;21269;29526;16380;
1663594623756;46769787;118497;97847;177762;22544;36666;20358;
1663594623771;46772289;104282;83390;123318;22544;36432;20280;
1663594623787;46789731;104274;83872;142506;22544;36481;20202;
1663594623803;46769761;105975;84347;140868;22544;36487;20202;
1663594623818;46751195;104356;83066;121368;22544;36144;20124;
1663594623834;46776439;104940;83265;126282;22544;36497;20280;
1663594623849;46836615;58982;187558;195234;120744;173446;151710;
1663594623865;46706086;103392;108164;132756;134469;180426;140946;
1663594623881;46763285;113043;93434;129090;22724;36959;20592;
1663594623896;46765315;111101;110112;186966;47301;84900;91338;
1663594623912;46786008;109649;102591;159354;33958;51780;28782;
1663594623928;46755427;58468;100546;130260;95298;102205;104520;
1663594623943;46755722;104055;83167;122616;21258;29711;16458;
1663594623963;59516577;260769;22701831;12734358;35047;42405;25116;
1663594623979;46744995;104348;83501;157170;22769;34498;28080;
1663594623994;46746029;106938;87326;133692;22544;35533;24102;
1663594624010;46777741;112960;92825;136032;22558;36450;20280;
1663594624026;46777403;120310;100202;199992;22544;36227;20202;
1663594624041;46751859;104378;83351;123162;22589;36459;20202;
1663594624057;46769309;104281;84170;121914;22550;36667;20280;
1663594624072;46769901;104988;84414;120666;22544;36473;20202;
1663594624088;46806225;26328000;27025563;15126150;20328;30842;18720;
1663594624104;46747995;104500;82581;147576;22863;34058;27768;
1663594624119;46750581;104198;81563;128622;22558;35083;23712;
1663594624135;46781803;98917;95973;135486;61522;84046;91650;
1663594624151;46759368;121202;123478;147342;65671;102598;85410;
1663594624166;46772996;121625;118659;169260;25918680;26921095;14966406;
1663594624182;46751079;104485;82316;148278;23003;34540;28002;
1663594624197;46751139;96326;91901;130260;47471;80212;96174;
1663594624213;46764193;104203;83971;119652;22499;36341;20202;
1663594624229;46773439;104188;83702;121992;22548;36287;20202;
1663594624244;46783401;105755;84070;134238;22544;36526;20358;
1663594624260;46770225;104251;82375;133146;22544;36249;20202;
1663594624275;46763989;104108;83421;126828;22544;36477;20280;
1663594624291;46768307;113225;90986;124020;22558;36377;20202;
1663594624307;46772649;119565;101249;179400;22544;36482;20280;
1663594624322;46783145;81073;130362;145236;101691;115754;104442;
1663594624338;46764346;475491;437558;319332;43433;86104;47970;
1663594624354;46783057;59972;121006;143676;98811;105611;96876;
1663594624369;46759176;103724;84443;123474;21349;30868;17160;
1663594624385;46778059;104336;84545;132600;22544;36756;20358;
1663594624400;46756389;104265;84470;118326;22546;36637;20358;
1663594624416;46782293;104391;84124;129636;22977;37560;20904;
1663594624432;46777779;113030;100192;135876;143960;150454;83616;
1663594624447;46756749;118787;104099;195624;22683;36814;20436;
1663594624463;46774983;106436;86806;125658;22589;36710;20436;
1663594624479;46766837;104259;84518;121602;22544;36549;20436;
1663594624494;46768241;104133;83500;118482;22553;37297;20826;
1663594624510;46773371;104309;83863;121290;22544;36581;20358;
1663594624525;46776617;104287;84636;126672;22548;36483;20280;
1663594624541;46776205;104370;83496;131430;22548;36005;20046;
1663594624557;46765891;104275;83001;126360;22558;35829;19890;
1663594624572;46773627;114552;93084;130026;22550;36273;20280;
1663594624588;46768285;121327;103512;185718;22548;36144;20124;
1663594624604;46763481;104460;83767;119262;22595;36800;20436;
1663594624619;46783137;104924;84660;131352;22544;36125;20124;
1663594624635;46769163;99104;99381;129792;47526;91131;98202;
1663594624650;46761667;104275;83364;120276;22501;36351;20202;
1663594624666;46769691;104412;83700;118950;22544;36420;20202;
1663594624682;46776193;105929;84995;124566;22544;36114;19968;
1663594624697;46771791;104253;83007;125268;22544;36315;20124;
1663594624713;46781527;113160;91224;136422;22544;36371;20202;
1663594624729;46754777;118732;99256;175032;22544;36867;20436;
1663594624744;46770515;104382;82952;119808;22544;36598;20358;
1663594624760;46780071;104321;83042;129402;22544;36171;20124;
1663594624775;46764129;104821;83794;122694;22544;36342;20280;
1663594624791;46768145;105977;84815;119964;22544;36648;20436;
1663594624807;46774455;104342;83564;123942;22549;37503;20826;
1663594624822;46770367;104301;83810;124566;22544;36552;20358;
1663594624838;46773205;104387;82842;126360;22550;36664;20436;
1663594624854;46773889;105535;104131;130962;60189;88520;73164;
1663594624869;46781812;567332;843107;595608;129064;168667;134160;
1663594624885;46759462;109669;107868;145704;38336;71757;39858;
1663594624900;46758507;105930;85316;122538;22591;37400;20826;
1663594624916;46775521;104379;83948;126984;22544;36869;20436;
1663594624932;46766291;105432;85083;122382;22558;36790;20358;
1663594624947;46769289;104347;83426;120510;22544;36607;20358;
1663594624963;46773005;104896;84343;122226;22544;36126;19968;
1663594624983;59496925;266400;22705050;12714702;33551;40003;23556;
1663594624998;46752629;118714;99029;209976;22751;34376;27846;
1663594625014;46749047;105685;84358;128310;22544;35366;23868;
1663594625030;46772679;104608;86893;125814;22554;36490;20280;
1663594625045;46768653;104239;83551;123006;22544;36629;20436;
1663594625061;46771693;104209;83320;124722;22548;36522;20280;
1663594625077;46766929;104148;83946;120822;22544;36365;20202;
1663594625092;46776663;105512;84272;126438;22558;36716;20358;
1663594625108;46805179;26184143;27020330;15128802;20193;30071;18174;
1663594625123;46738351;114409;89439;141960;22864;33807;26754;
1663594625139;46764847;114552;114613;183300;61757;88742;87672;
1663594625155;46795906;294331;652970;515814;4482150;4028065;2269956;
1663594625170;46742859;97675;110019;139152;44752;98416;101712;
1663594625186;46783388;107898;105567;169416;25654052;26936008;14974908;
1663594625202;46744165;96154;92734;156156;47971;86025;123864;
1663594625217;46739593;104086;83922;127140;22548;35529;24024;
1663594625233;46775215;105781;87847;127608;22544;37259;20748;
1663594625248;46766671;104727;85272;123474;22544;36554;20280;
1663594625264;46792863;112839;111240;145938;22544;36418;20202;
1663594625280;46752865;118881;114227;216996;22593;36542;20358;
1663594625295;46762303;104237;83917;118794;22589;36762;20436;
1663594625311;46779915;104335;85012;127374;22544;36569;20358;
1663594625326;46774279;196501;273275;225654;83968;151726;128232;
1663594625342;46790864;587614;803599;601926;230200;406661;270894;
1663594625358;46733742;103642;93362;124956;21340;34328;19110;
1663594625373;46778941;62212;126398;142116;101229;112743;102804;
1663594625389;46752428;103433;82772;121134;21234;30875;17160;
1663594625405;46783459;113363;109475;136110;22546;37142;20592;
1663594625420;46761887;118463;105376;204672;22589;36812;20436;
1663594625436;46764177;104304;84418;118872;22594;37084;20592;
1663594625451;46790653;105639;85773;138606;22544;36552;20280;
1663594625467;46765423;98608;96592;132990;108491;126665;115518;
1663594625483;46764930;183538;274381;235170;27798;47039;26052;
1663594625498;46762905;104212;92369;130650;22589;37041;20514;
1663594625514;46786053;96928;99600;145782;43418;88192;106704;
1663594625530;46753526;107387;99096;134004;28074;48252;26832;
1663594625545;46777005;113343;101172;135954;22544;36979;20592;
1663594625561;46762653;120612;105704;199134;22589;37031;20592;
1663594625576;46764599;104194;83388;121134;22589;36809;20514;
1663594625592;46773431;104135;84126;123318;22544;36564;20358;
1663594625608;46771625;104250;84030;123708;22544;36360;20202;
1663594625623;46767215;104261;83614;119496;22544;36207;20124;
1663594625639;46787159;98845;97845;135954;45715;90333;105768;
1663594625655;46755824;103136;82026;123006;21237;30851;17160;
1663594625670;46772043;98206;94281;125424;45398;83026;84318;
1663594625686;46764894;112036;89815;121524;21234;34296;19032;
1663594625701;46777669;118364;99676;190008;22544;39772;22074;
1663594625717;46759551;104967;85279;120276;22544;37108;20748;
1663594625733;46798181;104363;85314;148278;22544;36581;20280;
1663594625748;46743111;104251;83500;120354;22549;36750;20514;
1663594625764;46777909;106239;87436;127842;22544;36595;20436;
1663594625780;46780595;105822;85856;137124;22558;36229;20124;
1663594625795;46762553;104397;84137;128856;22544;36428;20280;
1663594625811;46771331;104194;84161;128778;22544;37135;20592;
1663594625826;46769301;112919;90898;126906;22550;36444;20202;
1663594625842;46767193;119936;100328;176514;22544;36211;20124;
1663594625858;46779419;96935;97125;132366;35278;108232;109512;
1663594625873;46740664;153846;137512;149838;36987;48502;26910;
1663594625889;46787429;69118;132192;146250;101260;116547;99372;
1663594625905;46750224;103684;83261;121992;21222;30121;16770;
1663594625920;46773495;96592;94009;126438;42156;84430;90870;
1663594625936;46754856;132491;136481;150072;24506;47684;26520;
1663594625951;46771123;104458;84234;121680;22589;36747;20358;
1663594625967;46787087;112930;93847;137514;22558;36808;20358;
1663594625983;46769923;119042;101886;200070;22544;37173;20592;
1663594626003;59508625;260246;22702571;12727494;33561;40038;23634;
1663594626018;46746951;104293;83497;151866;22769;34341;27924;
1663594626034;46743575;96729;89364;126360;38445;80272;91650;
1663594626049;46772870;114180;129355;158418;40266;106694;59202;
1663594626065;46760285;104306;84010;123240;22639;37217;20592;
1663594626081;46778033;96790;93584;130650;40894;84797;95706;
1663594626096;46771514;148663;152546;169182;45343;74724;41574;
1663594626112;46772951;95008;132329;200304;98879;103189;103038;
1663594626128;46792362;26260216;26957946;15090816;20277;29500;17784;
1663594626143;46734679;99214;97401;136266;61644;87087;94848;
1663594626159;46764352;158001;171363;166842;51717;67336;37440;
1663594626174;46770317;104212;94166;127686;22603;37315;20748;
1663594626190;46770573;95811;98860;127530;60632;88821;95238;
1663594626206;46789380;99869;109478;167388;26055372;26947564;15056808;
1663594626221;46727829;105696;84978;134316;22949;34134;27768;
1663594626237;46763957;113425;94910;129246;22544;34799;23556;
1663594626253;46771151;118441;100556;188214;22544;36425;20202;
1663594626268;46768693;201800;258096;293904;67898;103408;57486;
1663594626284;46771981;104211;84017;124332;22648;41216;22932;
1663594626299;46769135;104163;85297;124020;22544;39013;21606;
1663594626315;46768293;104231;86929;121290;22544;37577;20904;
1663594626331;46797965;99363;97979;149370;44599;86415;103740;
1663594626346;46741620;105156;83423;121758;21227;31266;17472;
1663594626362;46771485;106267;88421;123240;22548;36890;20514;
1663594626378;46773965;112893;94061;127374;22563;36629;20358;
1663594626393;46790673;80644;143889;213876;101368;111174;115362;
1663594626409;46740858;103438;82423;119184;21234;29588;16458;
1663594626424;46775621;104208;84693;124722;22544;36449;20280;
1663594626440;46782879;105848;85767;136500;22548;36275;20202;
1663594626456;46771365;104375;84418;136812;22544;36450;20280;
1663594626471;46754975;104293;83638;120510;22558;36331;20202;
1663594626487;46769637;104263;84688;119106;147610;165189;91806;
1663594626502;46783929;104891;85295;131898;22648;36491;20202;
1663594626518;46766651;113046;91920;127218;22558;36231;20202;
1663594626534;46766197;118545;100571;180492;22544;36352;20280;
1663594626549;46767669;105932;84715;118404;22595;36554;20280;
1663594626565;46773719;104133;83608;121134;22550;36369;20280;
1663594626581;46780263;104362;83872;131118;22544;36579;20358;
1663594626596;46763685;104197;83161;123240;22544;36257;20124;
1663594626612;46766439;104219;83635;119730;22544;36411;20124;
1663594626627;46786003;104488;85320;134706;22544;36290;20124;
1663594626643;46762471;99040;99246;127140;47547;91813;97422;
1663594626659;46770547;115568;94532;126360;22501;37017;20670;
1663594626674;46780373;84048;134798;191646;99408;108248;103194;
1663594626690;46781984;149940;232651;265980;124281;169303;198822;
1663594626706;46752166;103795;83805;123786;21328;29988;16692;
1663594626721;46766701;104124;83894;121446;22544;36873;20514;
1663594626737;46772127;104451;83278;122148;22558;36675;20436;
1663594626752;46772505;104259;83399;123162;22544;36180;20202;
1663594626768;46773319;105809;85931;125580;22544;36397;20202;
1663594626784;46766323;104272;83436;120588;22550;36488;20280;
1663594626799;46775441;112973;92056;124566;22544;36550;20202;
1663594626815;46776465;119308;98636;185952;22544;36766;20358;
1663594626831;46780019;96196;94457;138996;40996;78530;102180;
1663594626846;46751277;104305;83950;119106;22544;36786;20514;
1663594626862;46777853;96841;96843;126282;34252;87785;91962;
1663594626877;46969994;113911;476173;339612;25506;40946;22698;
1663594626893;46567629;104210;83956;129714;22589;36643;20358;
1663594626909;46784797;70640;114057;144924;95161;104118;109044;
1663594626924;46760050;103308;81800;135486;21222;29446;16380;
1663594626940;46760125;113093;91973;125736;22550;36650;20436;
1663594626956;46769803;120605;101514;181350;22558;36733;20358;
1663594626971;46770113;105079;84726;124332;22589;36788;20436;
1663594626987;46768857;105870;84967;121602;22558;36441;20280;
1663594627002;46776753;97287;94185;127764;44633;84056;87204;
1663594627022;59511179;258974;22698324;12730770;137064;430340;240630;
1663594627038;46741673;104300;82063;152178;22908;34967;28392;
1663594627054;46744805;104389;83197;128622;22544;34974;23790;
1663594627069;46774929;113419;97093;128778;22544;36721;20436;
1663594627085;46765817;118726;100215;183144;22544;36438;20202;
1663594627100;46794207;105911;85714;146874;22589;36704;20436;
1663594627116;46745839;104247;82925;121758;22544;36458;20124;
1663594627132;46769847;105666;85534;120744;22548;36596;20280;
1663594627147;46818013;26186623;27039298;15138552;66718;84915;129402;
1663594627163;46738050;118556;94285;169338;33190;45057;36972;
1663594627179;46741497;104237;82260;132210;22550;35450;24102;
1663594627194;46764775;104193;82910;122148;22544;36270;20124;
1663594627210;46784493;108231;107666;135642;46569;92178;76518;
1663594627225;46772540;121457;118992;170742;26064327;26938278;14975922;
1663594627241;46750289;104238;81801;149604;23000;34373;28002;
1663594627257;46755553;104279;81826;135798;22550;34797;23478;
1663594627272;46758323;104211;84546;119028;22544;36496;20358;
1663594627288;46781173;96311;91053;129714;41467;81704;95394;
1663594627304;46758414;125845;149612;159978;29184;52579;29250;
1663594627319;46765357;105813;96294;128310;22594;39242;21840;
1663594627335;46768071;106526;93433;125268;22544;37550;20748;
1663594627350;46779433;113869;97072;133458;22544;37136;20670;
1663594627366;46755931;118743;100438;180258;22550;36716;20358;
1663594627382;46781659;104246;83963;129012;22589;36911;20436;
1663594627397;46768617;104044;83941;126594;22544;36842;20436;
1663594627413;46783787;71416;124781;141180;95860;110668;103974;
1663594627429;46747064;104749;84499;119184;21220;30913;17160;
1663594627444;46773693;104815;84169;122694;22544;36893;20514;
1663594627460;46769121;104361;85766;120588;22544;36920;20514;
1663594627475;46770577;104223;83682;121212;22554;36326;20124;
