Time[sec],package0-bigcore-CPU0-INST_RETIRED.ANY,package0-bigcore-CPU0-CPU_CLK_UNHALTED.THREAD,package0-bigcore-CPU0-CPU_CLK_UNHALTED.REF_TSC,package0-bigcore-CPU0-DTLB_LOAD_MISSES.WALK_PENDING,package0-bigcore-CPU0-TOPDOWN.SLOTS:perf_metrics,package0-bigcore-CPU0-IDQ.DSB_UOPS:u0x2C,package0-bigcore-CPU0-L1D.REPLACEMENT,package0-bigcore-CPU0-L2_RQSTS.REFERENCES,package0-bigcore-CPU0-FP_ARITH_DISPATCHED.PORT_0:u0x43,package0-bigcore-CPU0-UOPS_EXECUTED.CORE,package0-bigcore-CPU0-PERF_METRICS.RETIRING,package0-bigcore-CPU0-PERF_METRICS.BAD_SPECULATION,package0-bigcore-CPU0-PERF_METRICS.FRONTEND_BOUND,package0-bigcore-CPU0-PERF_METRICS.BACKEND_BOUND,package0-bigcore-CPU0-PERF_METRICS.HEAVY_OPERATIONS,package0-bigcore-CPU0-PERF_METRICS.BRANCH_MISPREDICTS,package0-bigcore-CPU0-PERF_METRICS.FETCH_LATENCY,package0-bigcore-CPU0-PERF_METRICS.MEMORY_BOUND,package0-bigcore-CPU1-INST_RETIRED.ANY,package0-bigcore-CPU1-CPU_CLK_UNHALTED.THREAD,package0-bigcore-CPU1-CPU_CLK_UNHALTED.REF_TSC,package0-bigcore-CPU1-DTLB_LOAD_MISSES.WALK_PENDING,package0-bigcore-CPU1-TOPDOWN.SLOTS:perf_metrics,package0-bigcore-CPU1-IDQ.DSB_UOPS:u0x2C,package0-bigcore-CPU1-L1D.REPLACEMENT,package0-bigcore-CPU1-L2_RQSTS.REFERENCES,package0-bigcore-CPU1-FP_ARITH_DISPATCHED.PORT_0:u0x43,package0-bigcore-CPU1-UOPS_EXECUTED.CORE,package0-bigcore-CPU1-PERF_METRICS.RETIRING,package0-bigcore-CPU1-PERF_METRICS.BAD_SPECULATION,package0-bigcore-CPU1-PERF_METRICS.FRONTEND_BOUND,package0-bigcore-CPU1-PERF_METRICS.BACKEND_BOUND,package0-bigcore-CPU1-PERF_METRICS.HEAVY_OPERATIONS,package0-bigcore-CPU1-PERF_METRICS.BRANCH_MISPREDICTS,package0-bigcore-CPU1-PERF_METRICS.FETCH_LATENCY,package0-bigcore-CPU1-PERF_METRICS.MEMORY_BOUND,Frequency0,DTS0,DTS1,DTS2,DTS3,DTS5,ratio,Frequency[MHz],cycles
0.0,105439,110208,203805,8548,457968,135151,2266,7874,0,239679,68,16,100,61,16,14,67,23,77245,97585,167139,16441,309828.0,107746.0,1270.0,4845.0,0.0,235442.0,72.0,26.0,139.0,34.0,16.0,24.0,102.0,14.0,1308.1876970633693,45.675,47.141666666666666,47.05833333333333,47.4,48.15,8.833333333333334,883.3333333333334,108614204471665.0
0.016000000000005343,155933,226265,358029,26702,1004100,241085,4187,17869,5,333484,45,26,134,51,10,25,107,28,81709,120092,194607,15064,355110.0,120480.0,2032.0,6834.0,0.0,336497.0,72.0,24.0,118.0,41.0,20.0,23.0,85.0,13.0,1528.871370754883,45.3359375,46.4453125,46.703125,46.8828125,47.703125,8.3125,831.25,115855179564111.0
0.03200000000000358,106554,110564,210231,8785,459510,134936,2429,7948,0,242236,69,15,94,75,16,13,63,30,81061,96941,173061,5349,309816.0,110238.0,1471.0,4674.0,0.0,236126.0,74.0,24.0,107.0,54.0,16.0,22.0,70.0,32.0,1272.2977524722805,45.453125,46.78125,46.640625,46.875,47.7265625,8.0,800.0,115855208598023.0
0.04700000000000415,115119,117407,212058,8819,619902,152193,2364,8298,0,225645,55,17,103,81,13,15,75,36,61453,47847,64449,3451,202182.0,78503.0,533.0,1489.0,0.0,224940.0,86.0,20.0,112.0,39.0,18.0,17.0,74.0,13.0,1339.4024955436719,45.25409836065574,46.26229508196721,46.36065573770492,46.59836065573771,47.58196721311475,8.327868852459016,832.7868852459017,110424522720830.0
0.06300000000000239,100014,113024,208152,9434,468900,130022,2368,7662,0,230222,63,16,99,74,15,15,69,33,71571,103406,178857,9417,323532.0,103063.0,3274.0,8104.0,0.0,226123.0,66.0,23.0,109.0,61.0,15.0,22.0,74.0,40.0,1313.5961259079902,45.0390625,46.3515625,46.265625,46.5546875,47.34375,8.3125,831.25,115855265307846.0
0.07900000000000063,1903990,1400287,1939329,45746,7467090,2681357,20641,80223,14,2801341,73,28,109,44,15,27,75,25,196503,356999,507969,44391,935388.0,299848.0,6308.0,22707.0,0.0,2802930.0,65.0,31.0,135.0,31.0,18.0,30.0,101.0,17.0,1746.77649351915,44.625,46.015625,45.7734375,46.3828125,46.9140625,8.3125,831.25,115855294343052.0
0.09500000000000597,105302,121374,219555,10902,641166,147077,2336,11128,0,227081,49,20,121,66,12,18,94,28,62225,54405,73332,3676,238350.0,86773.0,581.0,2323.0,0.0,226602.0,75.0,28.0,120.0,33.0,16.0,26.0,83.0,10.0,1337.3777905308464,44.640625,46.0078125,45.8984375,45.96875,47.09375,8.0,800.0,115855323377717.0
0.1110000000000042,128442,132339,286398,10455,715980,179075,2739,11693,0,251252,53,20,106,77,12,19,77,31,60932,45621,61488,3352,195624.0,81051.0,520.0,1388.0,0.0,250456.0,88.0,25.0,103.0,39.0,19.0,22.0,63.0,12.0,1117.8657281126266,44.47692307692308,45.96153846153846,46.03076923076923,46.03076923076923,47.08461538461538,8.307692307692308,830.7692307692307,117665592523181.0
0.12600000000000477,96735,87534,172872,7874,446250,123690,1743,6589,0,204640,65,14,83,93,16,12,54,36,60934,45068,60795,3347,193356.0,79563.0,499.0,1277.0,0.0,204205.0,89.0,21.0,104.0,41.0,19.0,19.0,64.0,13.0,1224.9655976676383,45.13333333333333,46.083333333333336,46.18333333333333,46.4,47.15833333333333,9.0,900.0,108614419675494.0
0.142000000000003,874890,1339268,1966608,80792,4566846,1338692,26556,120332,1,3749036,55,33,133,40,11,33,103,23,1779257,2379033,3226797,111220,11318106.0,2941115.0,34975.0,194720.0,0.0,3755126.0,43.0,36.0,136.0,38.0,8.0,36.0,104.0,19.0,1647.4849820604818,44.54761904761905,45.976190476190474,46.01190476190476,46.07142857142857,47.035714285714285,8.0,800.0,76030108953059.0
