# SYSTEM INFORMATION FOLLOWS
# emon db : alderlake
# num_packages : 1
# num_modules_per_package : 1
# num_cores_per_package : 12
# num_logic_processor_per_core : 2
# device bigcore : num_events 10, num_unit 1
# device smallcore : num_events 10, num_unit 1
# tsc_freq : 2419.20 MHz
# ufs_freq : N/A MHz
# END OF SYSTEM INFORMATION
# GROUPING INFORMATION FOLLOWS
# group 0 : INST_RETIRED.ANY, CPU_CLK_UNHALTED.THREAD, CPU_CLK_UNHALTED.REF_TSC, DTLB_LOAD_MISSES.WALK_PENDING, TOPDOWN.SLOTS:perf_metrics, IDQ.DSB_UOPS:u0x2C, L1D.REPLACEMENT, L2_RQSTS.REFERENCES, FP_ARITH_DISPATCHED.PORT_0:u0x43, UOPS_EXECUTED.CORE
# END OF GROUPING INFORMATIONS
# START OF COLLECTION
timestamp;;package0;;;;;;;;;;;;;;;;;;;;
;;bigcore;;;;;;;;;;;;;;;;;;;;
epoch;timestamp;CPU0;;;;;;;;;;CPU1;;;;;;;;;;
;;INST_RETIRED.ANY;CPU_CLK_UNHALTED.THREAD;CPU_CLK_UNHALTED.REF_TSC;DTLB_LOAD_MISSES.WALK_PENDING;TOPDOWN.SLOTS:perf_metrics;IDQ.DSB_UOPS:u0x2C;L1D.REPLACEMENT;L2_RQSTS.REFERENCES;FP_ARITH_DISPATCHED.PORT_0:u0x43;UOPS_EXECUTED.CORE;INST_RETIRED.ANY;CPU_CLK_UNHALTED.THREAD;CPU_CLK_UNHALTED.REF_TSC;DTLB_LOAD_MISSES.WALK_PENDING;TOPDOWN.SLOTS:perf_metrics;IDQ.DSB_UOPS:u0x2C;L1D.REPLACEMENT;L2_RQSTS.REFERENCES;FP_ARITH_DISPATCHED.PORT_0:u0x43;UOPS_EXECUTED.CORE;;;;;;;;;;;;;;;;;;;;;
1660669362800;68733888;129304;227794;351855;12653;896652;202427;3806;17884;0;267184;40883;180111;208467;30698;536388;94779;2299;10931;0;202003;
1660669362816;37390931;123590;189966;280665;9379;831648;191148;3760;15790;0;252979;75034;107698;145026;8708;409668;119885;2447;9188;4;186785;
1660669362832;37290535;93571;104405;154791;4867;405114;127616;2399;8512;0;181517;44643;46264;62370;2315;226572;69257;890;3357;0;84042;
1660669362847;37326106;109222;122996;178479;4902;500508;150596;2787;9579;0;213081;58187;76713;103446;3191;280920;89867;1469;4858;0;150869;
1660669362863;37367068;105020;110063;162729;4772;466272;139831;2522;8623;0;189262;45644;62231;83790;4348;243402;71932;1185;3859;0;113331;
1660669362879;37540428;112219;133426;199836;5913;534768;155335;2951;10317;0;224242;58245;71381;96264;2396;268998;85298;1417;4516;0;143144;
1660669362895;39409034;1948291;2299613;3106467;9798;5985924;2242091;8663;31128;0;5912594;9266292;5085782;6850809;357706;24709212;8625716;28803;102786;0;11478435;
1660669362910;37128814;122956;135579;193284;10902;556878;162043;2714;10617;0;225683;46819;99365;133875;5204;317838;82839;1960;7158;0;170279;
1660669362926;37442928;75954;158302;229257;9565;586860;134768;3046;11859;0;221898;105931;115009;154917;5588;460944;145875;2365;8276;0;197335;
1660669362942;37213143;129193;158847;245385;6551;701136;184020;3415;12733;0;244491;58795;81914;110439;2110;287448;87706;2307;6485;0;155070;
1660669362958;39287764;1006824;1535186;2110752;77924;5421168;1385398;27142;96849;0;2821898;1065611;937551;1262835;37246;3735858;1322198;11132;38114;2;2243619;
1660669362974;37262708;109216;133291;191457;6893;537840;151163;2955;10867;0;210627;60736;85723;115353;7009;331836;93525;1874;6782;0;155013;
1660669362989;37366520;103116;108506;159453;4802;460110;135860;2499;8457;0;183641;47943;62714;84294;3763;248724;77595;1171;3678;0;118313;
1660669363005;37370504;109219;118699;174321;4747;482712;143565;2757;8853;0;208994;60022;69098;93177;2349;262296;84831;1476;4076;0;139502;
1660669363021;37373085;103902;102130;153531;5362;558720;138965;2363;8695;0;154475;42392;39876;53613;1708;209340;60981;743;2336;0;65206;
1660669363036;37466340;241772;680931;960624;61367;2555058;441296;9966;49469;18;679445;1824271;2629137;3541419;303701;14211732;2478778;53220;216389;3705;2613072;
1660669363052;37210100;539186;1069082;1472058;111928;4478376;849369;18479;94211;278;1319861;1047795;1749624;2356767;190888;7782270;1527983;29495;142965;1106;1967040;
1660669363067;37417531;499677;815020;1145403;80441;3641490;734298;14544;71363;241;1049230;1253067;1525754;2055060;153770;7242234;1578498;39972;154568;3389;1990957;
1660669363083;37453016;607708;950794;1324638;114437;4697028;865619;16871;84840;285;1109090;1554823;1332306;1794555;156862;6726654;1841600;45804;150611;3027;2128227;
1660669363099;37310719;152161;293207;426762;26148;1173990;242824;5553;24905;10;377113;1286909;883582;1190322;106804;4782168;1470338;38360;109366;2660;1606867;
1660669363114;37254538;130698;218802;324387;15660;940458;193999;4245;18498;11;273130;334604;437081;588924;64341;2400360;439286;15063;48719;2740;517265;
1660669363130;37250077;129389;181010;271971;8189;840720;188037;3691;16402;9;237561;63909;117538;158634;6350;538026;110925;1939;9426;0;159254;
1660669363146;37439592;122855;129647;188559;7209;722370;169021;3251;11619;0;180071;42572;41099;55503;1790;217746;62889;748;2616;0;66324;
1660669363161;37313696;112016;121706;175203;5416;507798;152392;2733;9631;0;205652;52645;76265;102627;3888;281100;82871;1318;4680;0;140205;
1660669363177;37572661;82734;210739;300069;18563;669144;147859;3491;15091;1;290458;123566;157027;211491;9956;603822;170123;2951;11651;0;229662;
1660669363192;37529686;115233;134493;197001;6542;610038;158971;3013;12134;0;202242;49512;72860;98280;5433;269904;81032;1383;4721;0;132636;
1660669363208;37415836;112278;131870;190638;5663;536472;155385;2954;10694;0;218958;64816;82382;110817;1989;300108;96034;1503;5072;0;162903;
1660669363224;38123665;137578;154723;223965;13494;554154;176368;3062;11396;0;301035;37503;65351;88074;73;146820;51290;798;2556;0;133212;
1660669363240;37438545;115587;130138;190260;6196;523824;156201;3050;10881;0;221927;62016;85035;114597;6923;299082;90809;1692;6292;0;165909;
1660669363255;37684522;429272;741882;1003779;73152;3103314;659562;13006;63333;0;930611;3906172;3784630;5097708;277560;20665242;5513440;49361;288989;0;5708124;
1660669363271;37464836;386893;351774;478674;18915;1568994;522379;5100;21092;1;731764;248289;294043;396018;19331;1215924;373959;4440;20868;0;531554;
1660669363286;37064320;115685;114881;165942;5500;504972;159800;2265;10025;0;196157;34202;84052;113211;7235;281988;67131;1634;6227;0;135640;
1660669363302;37647292;508738;398202;546273;27105;1880304;702606;5738;20474;0;805842;217775;213069;286902;10416;809826;297934;3653;13689;0;409027;
1660669363318;37141465;119221;151051;230769;5753;694266;173485;3181;13201;0;221082;48552;62218;83790;2831;245628;76926;1181;4224;0;119724;
1660669363333;37369053;111028;124533;184905;5562;503952;152237;2850;9947;0;213400;59630;79948;107604;2551;287328;91725;1544;5152;0;157476;
1660669363349;37604286;108326;268315;372393;6181;581766;149671;2718;9877;0;218547;48435;57844;77868;2891;291828;76455;1108;3560;0;82673;
1660669363365;37135551;109291;119022;175959;4749;478662;145990;2792;9166;0;210950;60064;70924;95697;3020;270738;86788;1519;4421;0;142640;
1660669363380;37380953;102958;107463;162099;4783;454710;133652;2506;8443;0;186918;47811;59011;79443;2348;240456;74248;1123;3256;0;112547;
1660669363396;37362201;119498;114961;169722;5319;636576;160840;2817;10005;0;174199;42392;40781;54999;1737;214926;62009;730;2347;0;65802;
1660669363411;37413754;123380;176621;251748;9448;634194;175932;3519;13578;0;268506;53734;88893;119763;4222;320712;89170;1657;6098;0;146300;
1660669363427;37384763;144091;222648;331821;7326;875964;214942;5756;19734;0;310483;81899;157263;211806;6157;578934;135778;2990;11587;0;241125;
1660669363443;37328518;112917;125396;181440;5079;553698;151276;2957;11004;0;203818;48640;60474;81270;2471;242652;75088;1187;3655;0;112776;
1660669363458;37346119;135324;138659;196875;7583;778308;186927;3779;13094;0;196198;42449;40949;55314;1705;213012;62710;743;2463;0;66935;
1660669363474;37336035;109384;121575;181377;5181;493254;147059;2807;9549;0;211099;59743;69863;94059;3059;268230;85310;1463;4428;0;139040;
1660669363490;37380396;103168;105478;157311;4968;444234;135240;2430;8566;0;187863;47856;57710;77679;2830;230220;73047;1166;3418;0;111787;
1660669363505;37372486;109346;118890;177849;4830;484320;146238;2733;9003;0;208692;62823;74963;100989;2455;280914;90218;1612;4417;0;151310;
1660669363521;37323964;101487;94428;152712;4721;512328;134151;2250;8110;0;150497;42449;40453;54558;1703;213294;61761;740;2387;0;65861;
1660669363536;37383509;117406;140797;201978;6741;540990;161021;3103;10861;0;236003;69541;98152;132048;5360;335802;103483;2012;7210;0;191540;
1660669363552;37409889;103315;108322;160146;4824;452004;138956;2526;8669;0;188240;47988;57861;78120;2557;236028;73978;1131;3368;0;111077;
1660669363568;37507730;67057;104165;156618;4630;490794;114580;2337;7778;0;133875;119008;113019;152271;6249;585228;156170;2409;9401;0;177916;
1660669363583;37179857;111091;109453;164241;6697;604446;145718;2690;10069;0;162156;42296;40479;54558;1731;212988;60996;732;2367;0;65286;
1660669363599;37343955;125637;142160;219492;5035;619668;170531;3245;11142;0;234255;62493;75351;101619;2604;280434;89859;1596;4513;0;151263;
1660669363615;37329842;103343;105318;154476;4831;439968;134809;2489;8434;0;187227;47957;57164;77112;2528;233676;73497;1151;3237;0;112101;
1660669363630;37389291;111818;122926;184212;4894;505830;150506;2838;9482;0;213207;60793;73007;98469;4463;271206;85142;1882;5247;0;141080;
1660669363646;37440742;106608;115323;173376;5053;488490;143032;2608;9099;0;190832;52923;75499;101556;2477;288588;85125;1249;4967;0;134486;
1660669363662;38680973;529409;812908;1109682;65204;2674992;794321;17194;59398;0;1398032;1119052;1648467;2245446;150059;6350370;1663628;43298;151020;0;2568300;
1660669363678;39732080;1256399;1387196;1880361;115645;4402608;1627741;22715;77893;25;3083649;1359317;1373358;1849869;103281;4456896;1749677;21277;79796;19;3116922;
1660669363694;37305909;111676;165048;233667;9977;663732;174546;3129;13474;0;243517;64589;102146;137529;4162;385998;109670;1792;6439;0;175294;
1660669363710;37268652;111197;134228;195489;7109;750702;159367;2800;13316;0;170404;113185;96960;130788;6946;547374;110841;1811;9114;0;147481;
1660669363725;37326567;127703;163000;254331;5731;716124;186143;3447;13739;0;243840;60617;86221;116172;3622;311772;94217;1641;6018;0;165320;
1660669363741;37421811;121829;157290;231399;12515;639642;171197;3549;13272;0;229921;55440;117398;158256;14143;377508;93511;2897;9680;0;182833;
1660669363757;38279810;152770;260022;361179;38046;979188;245513;4996;19369;0;374999;69021;137265;184842;10579;389784;117589;2292;7791;0;236727;
1660669363772;37555645;3808590;3485506;4700493;233519;19503510;5272405;46722;264743;0;5374341;332332;616645;830592;77567;2560848;652323;12030;49676;0;780430;
1660669363788;37411426;47085622;32147566;22847643;1834130;184406664;54859815;644065;2118604;3207;56265710;4941474;6219476;5929875;583017;28682898;7522375;103106;418821;577;8500175;
1660669363804;37300406;1265926;2094685;2854908;166877;11156742;2124892;41400;187487;9921;2129235;165475;410272;552636;41269;1221984;295222;6634;27191;1;515221;
1660669363819;37378645;131701;217206;323820;8570;1013658;220619;4040;18684;10;266070;59570;115426;155295;12701;439014;109683;2199;9176;10;175736;
1660669363835;38117677;726198;1208223;1635858;123706;5758320;1220103;18539;95367;48;1316946;139000;490461;660744;81916;1265502;250823;7391;28580;60;592051;
1660669363851;37308299;995297;1529355;2088009;133981;8143812;1541000;35023;154161;5754;1605587;127497;306275;412524;40732;956088;229059;5423;22249;0;404244;
1660669363866;37411178;141089;257886;374976;18355;1037634;235304;4869;20728;17;339365;74589;154086;207522;12804;474888;126730;3005;10834;0;252623;
1660669363883;39484644;7214861;7215917;9726948;747028;42045420;9331299;123029;638996;10;9736786;122590;210026;283059;11743;653196;210944;2989;13865;0;343559;
1660669363898;37501581;391782;642529;880677;31095;1830366;519195;7412;32090;11;1348558;10853581;5099234;6868827;383864;28658838;9493453;30951;109686;1;11057756;
1660669363914;37185404;126340;181707;267624;8675;845310;193769;3658;15069;14;239609;57845;91290;122787;5285;382722;102974;1799;6798;0;149280;
1660669363930;37362912;131947;163502;254142;5158;714030;188375;3627;13354;9;251696;65876;94275;127071;3442;362178;108216;1968;6166;0;175490;
