# SYSTEM INFORMATION FOLLOWS
# emon db : alderlake
# num_packages : 1
# num_modules_per_package : 1
# num_cores_per_package : 12
# num_logic_processor_per_core : 2
# device bigcore : num_events 10, num_unit 1
# device smallcore : num_events 10, num_unit 1
# tsc_freq : 2419.20 MHz
# ufs_freq : N/A MHz
# END OF SYSTEM INFORMATION
# GROUPING INFORMATION FOLLOWS
# group 0 : INST_RETIRED.ANY, CPU_CLK_UNHALTED.THREAD, CPU_CLK_UNHALTED.REF_TSC, DTLB_LOAD_MISSES.WALK_PENDING, TOPDOWN.SLOTS:perf_metrics, IDQ.DSB_UOPS:u0x2C, L1D.REPLACEMENT, L2_RQSTS.REFERENCES, FP_ARITH_DISPATCHED.PORT_0:u0x43, UOPS_EXECUTED.CORE
# END OF GROUPING INFORMATIONS
# START OF COLLECTION
timestamp;;package0;;;;;;;;;;;;;;;;;;;;
;;bigcore;;;;;;;;;;;;;;;;;;;;
epoch;timestamp;CPU0;;;;;;;;;;CPU1;;;;;;;;;;
;;INST_RETIRED.ANY;CPU_CLK_UNHALTED.THREAD;CPU_CLK_UNHALTED.REF_TSC;DTLB_LOAD_MISSES.WALK_PENDING;TOPDOWN.SLOTS:perf_metrics;IDQ.DSB_UOPS:u0x2C;L1D.REPLACEMENT;L2_RQSTS.REFERENCES;FP_ARITH_DISPATCHED.PORT_0:u0x43;UOPS_EXECUTED.CORE;INST_RETIRED.ANY;CPU_CLK_UNHALTED.THREAD;CPU_CLK_UNHALTED.REF_TSC;DTLB_LOAD_MISSES.WALK_PENDING;TOPDOWN.SLOTS:perf_metrics;IDQ.DSB_UOPS:u0x2C;L1D.REPLACEMENT;L2_RQSTS.REFERENCES;FP_ARITH_DISPATCHED.PORT_0:u0x43;UOPS_EXECUTED.CORE;;;;;;;;;;;;;;;;;;;;;
1663105526693;43489185;3916937;5012909;2860641;425656;27133182;5651288;53674;307034;14;5781180;1637105;2393827;1246581;232955;11672178;2208022;52206;171093;2564;2459936;
1663105526708;37655681;171715;341940;322623;48071;1261080;250552;7229;29143;0;411982;1333921;1173391;756063;131978;6348222;1608911;41665;122751;2671;1733403;
1663105526724;37725278;180059;356384;319032;49463;1236132;254539;7682;29845;0;427358;1336989;1029253;683802;133902;5357832;1576253;42108;119504;2606;1743034;
1663105526740;37636861;152955;248249;252819;29138;925644;220265;6179;22020;0;343771;1372750;1088446;704151;146618;5711844;1621013;43521;126167;2528;1798918;
1663105526755;37711390;111966;323726;292698;46810;993870;196672;5999;23836;4;396214;1422928;1089651;707994;144214;5675886;1686016;44485;127201;2596;1820382;
1663105526771;37645628;165226;234646;251496;27361;859002;214697;5710;20239;0;345391;1337025;1004703;666099;146410;5238780;1555499;43332;121809;2548;1748423;
1663105526786;37636753;148930;228839;247527;28930;826206;192312;5792;21343;0;318198;1350917;984647;660492;144332;5111046;1556178;42836;119986;2506;1757664;
1663105526802;37694038;171138;240867;251874;27489;897714;226457;5823;20459;0;351701;1338778;978219;653121;145460;5063238;1530430;43621;120541;2537;1739213;
1663105526818;37684559;150367;226888;250173;27084;834444;196792;5804;20936;0;322693;1352132;963251;643671;145189;5014686;1541954;42781;119329;2536;1744004;
1663105526833;37699977;166602;223972;260505;26610;844260;217352;5693;20306;0;337764;1335536;960180;661374;142882;4986480;1515795;43448;119440;2595;1719205;
1663105526849;37677851;374924;10319427;5299056;29732;50537694;539922;7439;28676;0;862737;1472615;4556331;2390283;142588;17423478;1729310;45169;131059;2515;1964022;
1663105526865;38235880;451413;17481447;8799651;28800;80546022;724288;9129;40334;9;1483098;1431228;33809510;16391592;37164;171048180;1805994;22090;63544;16;2611893;
1663105526880;37145656;215253;394879;401940;48406;1322076;312138;8920;33501;7;725247;972789;813323;410886;117080;3632592;1145111;33589;93827;2492;1435460;
1663105526896;37704608;1733081;1624414;1076166;191047;8459106;2244545;53242;193141;2670;2421453;116323;322687;174951;55577;909162;192227;6512;24041;7;424466;
1663105526911;37686496;1425549;1121740;841365;158425;5709336;1683614;46288;137689;2675;1925882;165427;284123;149373;31979;872496;226938;6264;21526;1;414996;
1663105526927;37727168;40264421;26494734;13005342;1627507;151967832;55174507;505338;1389833;3477;53098171;2654647;3462706;1678761;379046;14022276;3572843;75671;292010;2559;5255574;
1663105526943;37662892;173271;329360;418950;31998;1314384;282982;7009;30956;13;402237;1352683;1088667;538902;155618;5610888;1664838;44158;131993;2575;1824216;
1663105526958;37679185;1896738;1484070;1017513;156628;7797240;1745869;50662;153353;2542;2233317;137399;262923;146664;34956;714492;166331;4931;16805;0;397150;
1663105526974;37709156;1414544;1142030;850500;166226;5753274;1681256;46012;133090;2556;1909715;145236;283753;158319;32410;928914;201150;6078;22415;0;358796;
1663105526990;37728987;1461692;1173527;867699;163382;5895666;1706424;48637;143059;2607;1962909;836020;743400;389340;59583;3393072;1119794;9363;36700;6;1398762;
1663105527005;37693172;1383819;1052421;878976;149940;5608116;1615914;46948;134134;2454;1757800;163262;252814;142569;30910;987834;229550;5927;21352;0;334520;
1663105527021;37641669;1408244;1119824;838971;165060;5655000;1633740;47256;134495;2528;1889816;147358;256979;134442;29015;823728;190456;6099;20535;0;333123;
1663105527036;37700344;1430171;1057574;807534;146385;5469786;1616865;46798;130803;2767;1818896;78092;225714;128835;37977;596916;126934;5273;17795;8;336225;
1663105527052;37690430;1638661;10407767;5509287;147678;52641420;1951950;48083;139424;2540;2323680;220041;4125494;2024505;35234;15164118;349382;7250;25874;0;580139;
1663105527068;37674949;1601440;11417317;6171606;142100;66531264;1904478;47854;136157;2546;2175587;122180;353144;192024;31444;1410024;203581;5108;19162;0;360639;
1663105527083;37700269;1431320;1009417;806778;136970;5327718;1616121;46641;128929;2451;1790390;75958;190830;133686;31303;576282;122512;4814;15843;4;280680;
1663105527099;37682925;1418128;1099449;823914;142509;5770524;1674974;47792;137874;2677;1831989;217095;388812;206892;44644;1650528;306091;6572;31756;2;479626;
1663105527115;37661001;119176;128129;206514;5704;524760;151370;3531;12261;0;220755;62670;93176;76608;7975;323706;96287;1918;6399;0;174472;
1663105527130;37726174;216802;393860;334089;51021;1562328;305641;8507;33977;9;457205;1310588;969498;470043;130518;4995948;1530014;44627;124336;2531;1714524;
1663105527146;37652747;1429618;1050628;880992;142248;5547162;1646404;47704;136587;2552;1821740;95409;196022;123795;30986;618492;150142;4635;15533;0;297160;
1663105527161;37675807;1420671;1040849;797265;139648;5459880;1597945;47187;131785;2467;1789694;96950;209335;123921;26810;666096;160557;4637;15674;0;309319;
1663105527177;37694833;1416305;1031729;793800;139491;5408754;1600348;47370;132184;2704;1790865;96945;204200;119322;31133;628248;150779;4785;15426;4;307241;
1663105527193;37716976;1415952;1117597;839538;149820;5641356;1642659;48228;136907;2790;1895971;166116;267787;142632;28735;859638;214694;6035;20782;0;403952;
1663105527208;37748560;1638906;1680929;1129716;213227;8613336;2184260;56108;182477;2543;2338902;3663195;3970865;1957977;329062;22315932;5212161;46988;268580;4;5217896;
1663105527224;37600268;1415086;1102562;824040;142954;5796126;1683032;47767;138887;2516;1831677;97572;222744;125685;30431;692880;168795;4836;16736;6;322318;
1663105527240;37688724;1417987;1073231;826371;141579;5655312;1650475;47992;134722;2587;1821391;96847;209945;119385;31734;641442;158875;4786;15695;4;310533;
1663105527255;37662075;1425523;1081822;822906;146822;5640348;1636763;48343;137583;2957;1827598;99089;220182;129717;32028;692112;162558;5062;16875;2;307574;
1663105527271;37701527;1412130;1169943;929376;164901;5886924;1665940;49439;142627;2391;1918625;167135;279053;151263;29832;913884;227756;6151;21542;0;373790;
1663105527286;37699050;1431899;1063519;819378;142024;5637780;1675124;47609;134750;2328;1822347;73788;199156;121590;30284;592758;125572;4629;16141;4;279002;
1663105527302;37689333;1414821;1026963;797643;139758;5407890;1611680;47911;131060;2724;1787952;95192;194897;116046;30629;603450;146697;4646;15070;0;300897;
1663105527318;37674862;1416000;1032125;794241;140756;5433150;1600533;47887;132870;2557;1785232;92632;196505;114975;30694;612792;148404;4596;14820;0;301205;
1663105527333;37741925;1414823;1132547;846657;157130;5624118;1632673;49271;134755;2462;1884960;146026;280397;160965;31645;958344;186707;6119;20797;0;345584;
1663105527349;37712551;1886260;2023144;1268127;270437;10461162;2467341;67030;225181;2530;2754305;535297;867775;424179;54705;2636952;743741;15462;58197;5;1407450;
1663105527365;37665151;3491230;3438636;1838970;202488;12419088;4319940;53222;184436;31;7088322;4938324;5262193;2605806;345737;20845740;7213371;73098;224489;313;10773591;
1663105527380;37589664;116132271;74046717;35899731;6091692;419660184;134367249;1599606;4215839;526;143645134;7362127;10499605;5091156;1300139;37067436;9791009;200381;725719;2513;15782112;
1663105527396;37696422;51320756;64014608;31047282;5304904;217818480;67634426;905414;3419059;3677;114664384;52373295;66798161;32396364;5978572;223641570;66922958;1059491;4103265;190;121298370;
1663105527411;37775123;8692994;10812761;5538330;789945;41617590;11173402;150012;652670;34;15394156;10986020;17647506;8562456;1745675;69717630;15019492;270887;1106370;43280;23829848;
1663105527427;37628597;1621629;3001314;1900773;392097;15008160;2471623;37663;124276;13;2592729;1788881;2906907;1421343;247536;15026502;2410488;56655;212519;4694;2665789;
1663105527443;37588208;189888;383472;456246;46991;1545264;304950;7830;33174;14;426057;1311061;1272989;632709;127283;6867054;1585121;40249;117070;2651;1723851;
1663105527458;37753225;184389;303087;399294;31526;1174998;277196;6746;26321;14;403644;1327473;1026606;503622;142257;5252580;1575388;42664;120389;2580;1767383;
1663105527474;37639850;164525;275979;377811;29445;1083150;234606;6379;25617;9;353611;1343500;978750;491652;143068;5047806;1577362;42204;117691;2445;1752804;
1663105527490;37733092;1457773;1152494;866061;157380;5825226;1736619;46379;139922;2565;1961385;107788;294085;166257;39989;832476;185657;6268;21532;0;418813;
1663105527505;37681887;1504309;1128962;839223;152752;6016230;1680446;45040;133571;2593;1887703;78490;350955;192780;29726;1212270;120622;5373;16893;0;271965;
1663105527521;37627030;4002781;4008984;2242233;158295;16098012;4041382;52113;156688;2594;8218565;2780223;2236921;1116108;48924;7521072;2575247;11445;36781;0;5410118;
1663105527536;37663237;1480798;1270591;986454;194734;6063282;1759866;47245;142080;2547;2021558;139451;396943;212436;65744;1258764;229043;7175;27810;13;479800;
1663105527552;37695940;1642405;1686296;1273671;182342;8298096;2019900;51168;173250;2527;2313745;227951;678364;348012;72643;2673408;375279;9956;43507;117;676311;
1663105527568;37694780;1154573;2773585;1962387;263531;11684208;1928935;45405;211492;501;2577116;9849508;11488925;5576886;882790;62795484;13810396;189270;796759;118465;13358469;
1663105527583;37488910;2325542;3025311;1715868;244238;9255072;2775572;53519;190475;77;6087966;7199764;6312019;3060351;406265;29105202;9141630;149162;566378;109248;11492664;
1663105527599;37674327;377593;930419;601461;102492;4234926;663511;18353;83888;40;859106;4308573;2937083;1423863;209292;16580802;5515108;79610;283081;94316;5450286;
1663105527615;37807167;532213;1202690;875070;114372;4951002;892520;18585;97706;333;1194508;1234655;2544523;1238454;264486;13237770;2185078;38949;202811;964;2216027;
1663105527630;37699616;3975850;3915179;2031309;268050;13071660;4751317;84655;288994;96564;7240537;2228291;4172436;2025009;488014;12914430;3409333;80250;327967;5230;7615763;
1663105527646;37750858;463987;1300728;925344;87191;4434402;844626;21209;91302;39;1318073;8941544;6251697;3032883;408470;34731228;11454469;143531;515413;193870;11020245;
1663105527661;37521343;1093945;2137971;1639953;203706;7930446;1677555;39176;172793;435;3258860;7399062;5604731;2723301;395132;28680978;9552668;140433;567469;87506;10176453;
1663105527677;37670837;330769;844693;660870;84353;3384102;595390;17113;74721;42;938706;4752502;3332093;1645560;233272;17890206;6152437;91197;327939;72465;6201558;
1663105527693;37664375;296865;727935;637938;42862;2888970;522051;14707;61297;20;742102;4690448;3218262;1570149;277249;17389824;5960898;93778;333764;72895;6036512;
1663105527708;37643480;403880;1075131;764694;125159;3562194;685940;22213;92610;29;1125951;5133811;3769611;1827756;313467;19731972;6562830;101235;365051;73049;6743646;
1663105527724;37682991;4002289;5000213;2697975;356874;27085176;5780936;60902;339248;42;5948366;4477337;3712268;1802430;332655;19699752;6142614;96026;355686;67664;6081886;
