# SYSTEM INFORMATION FOLLOWS
# emon db : alderlake
# num_packages : 1
# num_modules_per_package : 1
# num_cores_per_package : 12
# num_logic_processor_per_core : 2
# device bigcore : num_events 10, num_unit 1
# device smallcore : num_events 10, num_unit 1
# tsc_freq : 2419.20 MHz
# ufs_freq : N/A MHz
# END OF SYSTEM INFORMATION
# GROUPING INFORMATION FOLLOWS
# group 0 : INST_RETIRED.ANY, CPU_CLK_UNHALTED.THREAD, CPU_CLK_UNHALTED.REF_TSC, DTLB_LOAD_MISSES.WALK_PENDING, TOPDOWN.SLOTS:perf_metrics, IDQ.DSB_UOPS:u0x2C, L1D.REPLACEMENT, L2_RQSTS.REFERENCES, FP_ARITH_DISPATCHED.PORT_0:u0x43, UOPS_EXECUTED.CORE
# END OF GROUPING INFORMATIONS
# START OF COLLECTION
timestamp;;package0;;;;;;;;;;;;;;;;;;;;
;;bigcore;;;;;;;;;;;;;;;;;;;;
epoch;timestamp;CPU0;;;;;;;;;;CPU1;;;;;;;;;;
;;INST_RETIRED.ANY;CPU_CLK_UNHALTED.THREAD;CPU_CLK_UNHALTED.REF_TSC;DTLB_LOAD_MISSES.WALK_PENDING;TOPDOWN.SLOTS:perf_metrics;IDQ.DSB_UOPS:u0x2C;L1D.REPLACEMENT;L2_RQSTS.REFERENCES;FP_ARITH_DISPATCHED.PORT_0:u0x43;UOPS_EXECUTED.CORE;INST_RETIRED.ANY;CPU_CLK_UNHALTED.THREAD;CPU_CLK_UNHALTED.REF_TSC;DTLB_LOAD_MISSES.WALK_PENDING;TOPDOWN.SLOTS:perf_metrics;IDQ.DSB_UOPS:u0x2C;L1D.REPLACEMENT;L2_RQSTS.REFERENCES;FP_ARITH_DISPATCHED.PORT_0:u0x43;UOPS_EXECUTED.CORE;;;;;;;;;;;;;;;;;;;;;
1663004064623;56876762;381323;15305123;7838460;17176;85222668;617563;4152;20352;0;871833;289201;4021721;1965033;14435;20730972;448416;6149;27889;0;494962;
1663004064638;37611039;160265;2050303;1321299;8276;12283776;232756;2645;12507;0;223867;29665;48705;23562;5129;255186;45206;1018;4102;0;51657;
1663004064654;37701240;105631;90292;203049;4924;510660;133002;2464;8771;0;144299;41265;38702;18774;2351;208314;61412;752;2307;0;63260;
1663004064670;37672471;102344;104293;195615;5348;410250;128736;2671;9130;0;189361;58437;80599;77553;6661;280104;88597;1817;5331;0;153454;
1663004064685;37707036;3709491;4297400;2211426;357000;24842862;5317224;45119;268930;0;5159612;217092;636409;321615;78400;3195696;399183;8702;36366;0;452679;
1663004064701;37683926;61490;113459;191079;6437;499704;113377;2330;9973;0;140505;117931;136368;83853;8641;662178;169291;2605;11505;0;196920;
1663004064716;37638871;137304;132749;228312;7857;777948;188222;2809;13172;0;187228;22530;35195;17073;1947;174798;36526;834;3020;0;43522;
1663004064732;37679492;121531;137360;280602;5426;606984;168498;3275;12855;0;222130;59849;79489;81963;5184;275604;87750;1660;5491;0;157080;
1663004064748;37694833;101736;102148;194544;5039;405216;128061;2684;8615;0;191040;61292;72812;77175;2812;271428;86891;1630;4700;0;146280;
1663004064763;37690031;110994;95691;197253;5313;542832;141083;2611;9186;0;153742;41791;37654;18270;1827;195438;58647;738;2299;0;63146;
1663004064779;37681013;110842;92319;199269;4876;521436;136814;2596;8704;0;152361;41656;39003;18774;1876;198726;59508;744;2329;0;64481;
1663004064795;37740228;76968;196811;238581;16457;578214;132511;5597;17339;0;262458;120782;152914;104328;8019;617448;153308;2952;9341;0;210664;
1663004064810;37708802;511657;666537;469917;47017;3479586;763247;7657;33119;2;853558;76487;185302;131670;25566;620064;120511;2897;10232;0;251212;
1663004064826;37675987;113936;106491;209475;7926;602202;148061;3018;10926;0;158045;42151;39110;18963;2071;198720;59729;785;2718;0;64525;
1663004064841;37691714;106436;108052;195237;5100;453528;136974;2728;9143;0;191769;57766;70676;51723;2567;249246;81345;1382;3900;0;140907;
1663004064857;37720674;113650;123764;211428;5426;545580;148614;3073;11133;0;202188;56479;75171;41517;5037;257682;78757;1419;4104;0;140443;
1663004064873;37687530;145830;291117;343098;33362;1277388;216962;5276;22799;0;327876;64428;133756;99225;18013;354474;93419;2103;7172;0;213686;
1663004064888;37688889;110969;100407;200529;5113;567840;138852;2587;9113;0;152866;42016;39322;19089;2025;203952;60181;732;2423;0;64503;
1663004064904;37741200;61478;91321;158823;3829;403074;99254;2255;8309;0;127894;117072;111609;91224;6375;550074;154045;2479;9946;0;183048;
1663004064920;39399968;498093;18808667;9438471;8344;100265544;732103;4810;20553;1;1074999;204312;4204011;2038239;11398;15265482;329358;4682;18312;0;457140;
1663004064951;73743170;248629;2290072;1513890;22013;13302054;385969;5480;23720;0;460752;3056008;3716319;1833930;16931;21907812;3588858;22975;82814;0;4366078;
1663004064966;37656308;110923;105698;203175;6067;591474;143931;2581;9533;0;157473;42691;42377;20727;2693;219048;62742;793;3119;0;66665;
1663004064982;37704275;114870;128942;200025;7123;499998;149113;3321;11498;0;217116;62518;101743;82089;12089;327942;100377;2202;7042;0;190091;
1663004064998;37692433;135874;130746;256599;5974;588588;180217;3065;11484;2;230074;40634;74219;68418;5486;245874;64863;1900;5438;0;136261;
1663004065013;37701437;124899;111878;193536;5525;478860;154490;2627;9050;0;208306;38307;73499;66402;4150;228270;57645;1591;4673;0;130301;
1663004065029;37723829;160500;303180;292005;44110;1022802;245457;5554;21800;0;415055;98032;249679;159705;41584;632952;161847;4056;12893;1;332286;
1663004065045;37669266;107041;110528;192276;5984;451122;135782;2822;10168;0;196798;60237;80990;69048;6903;284076;88892;1746;5606;0;157986;
1663004065060;37785873;72884;103044;131103;9579;400740;111345;1999;6211;0;163918;130138;160524;107163;20408;685242;173092;3725;13133;0;252988;
1663004065076;37622003;127996;98146;199647;5251;570936;159485;2369;8383;0;169553;22507;32379;15750;1951;157626;33915;861;2618;0;42294;
1663004065091;37713319;102892;105641;204183;5069;426240;129973;2669;9678;0;183673;180558;221468;162099;14004;1119798;220353;3206;19929;0;311717;
1663004065107;37712200;96665;180920;230076;25955;588390;154939;3397;14085;0;291333;104015;126805;98406;5938;462960;133723;2975;9619;0;201393;
1663004065123;37719579;180267;282691;342342;33467;982440;263670;6389;22106;0;500600;2502418;1410353;713916;39763;7443078;3132324;16564;54261;4;3551113;
1663004065138;37673554;103728;109540;194355;5149;462672;134388;2708;9705;0;185727;58796;76935;64701;5847;275172;86169;1713;5195;0;148262;
1663004065154;37682062;127005;98817;197631;4954;573672;161779;2374;8588;0;167468;22531;33604;16254;2047;165540;36240;870;2716;0;43010;
1663004065170;37711026;105563;109016;200907;5401;426618;133052;2835;9556;0;196212;62498;80857;84042;5201;289098;91534;1800;5704;0;163845;
1663004065185;37699018;104338;102775;196686;4914;410052;131373;2684;8377;0;189730;57768;72891;75285;4333;266220;81462;1593;4538;0;141381;
1663004065201;37712861;3745891;3715389;1945629;293472;21633264;5406395;45802;270142;0;5148001;230988;452923;219807;54859;2230902;450915;8325;34107;0;454934;
1663004065216;37647167;110891;107566;201663;5499;599772;142559;2589;11047;0;156858;42646;45927;22365;2474;239412;64628;789;3468;0;67821;
1663004065232;37691340;103276;104748;188181;5042;423300;131046;2659;9061;0;184708;56337;75608;63441;3617;275460;83707;1443;4471;0;142183;
1663004065248;37728388;127686;130855;207963;7084;595380;166433;2887;11735;0;215437;38759;73649;35847;4232;240870;60396;1671;5498;0;127781;
1663004065263;37673570;127378;117886;271719;5555;675366;163843;3050;12275;0;176485;41836;38682;18837;2038;198672;59290;746;2344;0;64197;
1663004065279;37703119;109496;110150;195678;5177;464874;143669;2747;9156;0;196768;57152;72313;52542;2597;248850;80612;1389;3836;0;144056;
1663004065295;37694150;122161;107420;194292;5075;444408;151719;2577;8242;0;208088;42391;75427;74844;6521;241080;68731;2128;6009;0;141775;
1663004065310;37691880;124429;206196;237384;25806;634806;177988;4015;14280;0;329663;82194;151747;97650;12895;448848;123265;2540;8256;0;245754;
1663004065326;37691065;127761;99169;200907;4943;576246;157169;2365;8541;0;165675;22531;33634;16254;1958;165144;35177;874;2802;0;42573;
1663004065341;37678318;111415;94308;195237;5371;531882;139196;2602;9158;0;152037;41656;40278;19530;2129;207606;59659;756;2440;0;63420;
1663004065357;37701231;103203;102812;190197;4769;404448;129147;2689;8846;0;188703;59664;74697;71442;3838;272472;86713;1671;4818;0;149764;
1663004065373;37700936;101823;99822;186795;4927;401736;126109;2600;8531;0;185039;60747;73639;71442;2886;264978;86817;1610;4550;0;149359;
1663004065388;37717235;113285;121534;201159;5709;529968;144706;3037;11182;0;201212;56339;72128;34965;4659;251352;78821;1383;3864;0;139447;
1663004065404;37702238;134472;126558;271152;5113;562206;172268;2995;10485;0;224483;43357;73721;86940;3169;254544;66069;1592;5794;0;136484;
1663004065420;37699164;5664564;5764472;2927799;628378;32903082;7837964;103994;444981;0;7610077;7075055;6780055;3300696;524063;38777208;9241774;113379;445428;0;9179263;
1663004065435;37641434;104915;130112;205758;6925;533904;152538;2905;11993;0;214458;63691;91125;80388;3969;344724;101765;1881;6460;0;170032;
1663004065451;37667105;113201;105001;199647;6764;597804;154547;2910;10751;0;157784;41881;38958;18900;1975;202548;61958;750;2427;0;65570;
1663004065466;37680506;110868;94510;198198;4772;534990;139790;2559;8493;0;152622;41746;38505;18648;1874;199284;59438;728;2254;0;64131;
1663004065482;37722438;112110;141698;215523;5984;540606;144641;5375;14621;0;219976;64581;111747;89964;6615;355416;96883;3031;8650;0;187581;
1663004065498;37726120;689735;1209615;714987;94342;3498966;989836;22571;87762;5;2376003;3463964;3255184;1585017;209519;10483596;4193916;54206;172958;38;6690377;
1663004065513;37633415;24354808;32969398;15984486;3042748;119415084;33091759;499764;2009228;304;55379798;80117938;69838211;33859287;4411844;336834594;96881223;1257622;4566358;790;118847601;
1663004065529;37924126;21430175;27102319;13418433;2517135;110303868;28825855;422925;1872954;5416;41777050;21663359;30463030;14769405;2933050;121502064;30967353;465722;2011242;40683;44186979;
1663004065545;37653446;384162;1435720;1218105;176205;4701864;719441;19279;76854;8;1294187;1141527;2672424;1301076;300790;12421386;1773015;39179;164042;5730;2084385;
1663004065560;37714664;130155;383392;464121;67061;1417314;249779;6831;25358;7;368682;580428;2137948;1043217;438288;11026482;1058500;23664;70536;0;1066114;
1663004065576;37594514;133012;220650;332073;3558;794106;203748;2812;11826;8;330181;102030;136725;98532;8771;562008;134388;2720;10168;0;213346;
1663004065591;37722880;155471;242487;321048;6518;969456;210543;3546;13846;13;341265;98508;205234;118503;4870;834606;184044;2361;7171;0;259825;
1663004065607;37491176;113478;299410;372834;27659;1068816;197916;5189;22571;9;357606;126027;180865;87885;16011;644166;177728;3384;12118;0;238276;
1663004065623;37661815;106234;120941;195300;6580;491448;144810;3001;10721;0;206256;60246;83285;71757;4943;292104;86803;1614;5188;0;156188;
1663004065638;37744028;64020;94224;168966;3070;414582;102561;2303;8133;0;131741;117294;107401;83538;5506;507582;149220;2425;8352;0;186204;
1663004065654;37636563;118263;106755;196308;5184;452130;149212;2407;8031;0;200723;37358;69781;74592;6475;222150;54586;1553;4384;0;124382;
1663004065670;37708904;128934;131994;209412;7406;598812;166780;2888;11313;0;216162;39022;69059;33453;3820;217566;58276;1669;4550;0;129084;
1663004065685;37679240;134963;131411;265356;5918;594252;177578;2986;11424;0;228744;42062;67374;66591;2775;218802;62320;1700;4558;0;130938;
1663004065701;37716003;101766;100030;205065;4981;400932;126954;2688;8491;0;184720;56611;71879;89271;3201;255000;78113;1470;4011;0;142092;
1663004065717;37749262;3668800;4022445;2082213;287796;23132892;5217770;44923;266255;0;5092679;304324;708602;343413;82263;3507498;569214;10222;44577;0;599334;
1663004065732;37581464;125484;129677;203238;8548;562008;166588;2729;11469;1;218440;39481;89050;71946;5177;277908;61447;1620;6258;0;142587;
1663004065748;37697319;155991;202266;231966;22498;752682;212584;4398;16820;0;308261;351859;617378;626976;35140;3001740;554392;13693;55280;0;671542;
1663004065763;37688166;113201;111014;207900;7249;626784;155581;2891;10919;0;160498;42241;44899;21735;2699;235944;62178;772;3296;0;66111;
