# SYSTEM INFORMATION FOLLOWS
# emon db : alderlake
# num_packages : 1
# num_modules_per_package : 1
# num_cores_per_package : 12
# num_logic_processor_per_core : 2
# device bigcore : num_events 10, num_unit 1
# device smallcore : num_events 10, num_unit 1
# tsc_freq : 2419.20 MHz
# ufs_freq : N/A MHz
# END OF SYSTEM INFORMATION
# GROUPING INFORMATION FOLLOWS
# group 0 : INST_RETIRED.ANY, CPU_CLK_UNHALTED.THREAD, CPU_CLK_UNHALTED.REF_TSC, DTLB_LOAD_MISSES.WALK_PENDING, TOPDOWN.SLOTS:perf_metrics, IDQ.DSB_UOPS:u0x2C, L1D.REPLACEMENT, L2_RQSTS.REFERENCES, FP_ARITH_DISPATCHED.PORT_0:u0x43, UOPS_EXECUTED.CORE
# END OF GROUPING INFORMATIONS
# START OF COLLECTION
timestamp;;package0;;;;;;;;;;;;;;;;;;;;
;;bigcore;;;;;;;;;;;;;;;;;;;;
epoch;timestamp;CPU0;;;;;;;;;;CPU1;;;;;;;;;;
;;INST_RETIRED.ANY;CPU_CLK_UNHALTED.THREAD;CPU_CLK_UNHALTED.REF_TSC;DTLB_LOAD_MISSES.WALK_PENDING;TOPDOWN.SLOTS:perf_metrics;IDQ.DSB_UOPS:u0x2C;L1D.REPLACEMENT;L2_RQSTS.REFERENCES;FP_ARITH_DISPATCHED.PORT_0:u0x43;UOPS_EXECUTED.CORE;INST_RETIRED.ANY;CPU_CLK_UNHALTED.THREAD;CPU_CLK_UNHALTED.REF_TSC;DTLB_LOAD_MISSES.WALK_PENDING;TOPDOWN.SLOTS:perf_metrics;IDQ.DSB_UOPS:u0x2C;L1D.REPLACEMENT;L2_RQSTS.REFERENCES;FP_ARITH_DISPATCHED.PORT_0:u0x43;UOPS_EXECUTED.CORE;;;;;;;;;;;;;;;;;;;;;
1663106185674;53942059;230965;6659218;3637494;9154;34357020;380724;4482;21529;0;559285;221091;4065027;2108421;9247;20860662;348920;4783;19276;0;432932;
1663106185690;37696357;294661;10224802;5429466;8242;60169878;437139;3486;15886;0;520379;84918;236641;130095;4154;1164744;133469;1699;7218;0;164458;
1663106185706;37705643;95223;99887;187110;5215;418068;122404;2711;8660;0;181179;60734;80945;145215;3496;255378;90923;1630;5532;0;165332;
1663106185721;37724886;96508;101927;195174;4994;376254;121523;2675;8196;0;190305;61524;78968;97839;3196;258612;87955;1608;4763;0;171598;
1663106185737;37714635;57760;80279;125811;3878;380328;94362;1979;6740;0;108280;117027;112062;72261;5846;596196;153441;2387;8843;0;171261;
1663106185752;37631243;119211;108633;194481;5361;467136;153011;2397;8227;0;198973;37633;63955;59031;4367;207510;55518;1671;4931;0;115082;
1663106185768;37729887;130621;135202;209223;7387;529728;166595;3151;10982;0;244436;43492;73818;79254;3464;257682;68280;1976;5403;0;127004;
1663106185784;37679302;117549;129258;271467;5659;564918;154456;3211;11487;0;217517;61327;70388;77175;2907;270534;87258;1600;4659;0;141407;
1663106185799;37682863;105169;106458;189630;5407;436308;133029;2772;9316;0;192888;57683;74795;66591;4449;254784;81034;1501;4294;0;146975;
1663106185815;37753392;73616;185879;239337;25186;539274;126316;4817;14689;0;270111;122915;136753;112959;9994;547740;158352;2838;9441;0;215557;
1663106185831;37704915;1373857;827012;534618;35214;4047354;1674737;10085;38810;2;2031510;529876;724295;376803;55564;3434718;798363;8785;33518;1;1022064;
1663106185846;37709440;57252;84614;125118;3698;401712;92175;2038;7433;0;109099;117773;114844;79758;7020;615576;155294;2432;9984;0;172536;
1663106185862;37628945;118179;106292;191772;4875;448620;150551;2375;8211;0;200925;41495;69617;70308;3125;228486;61488;1668;5012;0;129279;
1663106185877;37702321;316134;9359794;4848039;6814;47120574;457513;4281;17087;0;671436;189137;3758441;1822212;4826;13226262;277190;3208;12114;0;360524;
1663106185893;37706721;297253;10270669;5442822;7370;60195588;430709;3937;14914;0;602307;92417;208088;143199;3998;987252;144163;2388;8222;0;192018;
1663106185909;37675409;117444;126063;261198;5157;550926;153587;3075;11105;0;207658;58709;74956;72576;4066;264948;85642;1788;5624;0;147087;
1663106185924;37695322;118186;104077;189693;4955;438018;146264;2402;7962;0;200397;41485;64894;67851;3736;222288;60940;1672;5009;0;124907;
1663106185940;37699507;111682;95781;199458;5498;542424;140083;2591;8641;0;152322;41791;37629;18144;1827;193704;58357;742;2305;0;63306;
1663106185956;37735897;57401;74366;111636;3035;348120;88256;1997;6101;0;105710;116929;101928;85365;5406;536070;150677;2346;8151;0;170055;
1663106185971;37634200;118129;101897;191709;4757;422820;146153;2362;7481;0;203447;42021;62563;70371;2561;211956;61510;1696;4483;0;123450;
1663106185987;37703124;101792;100710;190071;4866;395712;123733;2615;8061;0;188737;61249;70073;71946;2598;260322;86524;1573;4271;0;144097;
1663106186002;37732645;76063;154132;217350;14861;519534;131740;3361;13302;0;252432;116711;111638;90342;5790;440706;143699;2608;8219;0;194948;
1663106186018;37647430;118413;104349;196749;4838;434424;148448;2405;7815;0;204721;42062;62129;72576;2680;226332;61241;1751;4751;0;116133;
1663106186034;37688911;111091;113679;196812;5355;484386;138895;2960;10554;0;196579;60778;72799;45549;2924;256776;83955;1561;4297;0;146451;
1663106186049;37702755;119291;120745;252315;4968;522396;153629;3186;10592;0;211652;61154;74576;80136;5544;260130;85777;1712;4852;0;152385;
1663106186065;37687974;122558;106198;189126;4887;456084;150986;2511;8243;0;203135;38897;67572;58779;3274;209796;56165;1817;5077;0;124069;
1663106186081;37732059;122973;210289;251118;19093;673962;173324;4011;15179;1;319682;71337;128810;108171;15682;393546;106530;2683;8273;0;210782;
1663106186096;37707164;103585;107402;189819;5244;378774;129913;2716;9073;0;208261;61705;77007;73080;4731;275844;87864;1862;5249;0;156847;
1663106186112;37684948;296438;378141;314055;28599;1787712;439756;7865;42150;0;545434;85632;154563;94185;10311;440742;130956;2712;11097;0;268387;
1663106186127;37748258;3751993;4146321;2147733;321203;23531394;5339070;46109;271756;0;5289438;288228;722416;374976;78293;3346158;492635;10138;45039;0;633449;
1663106186143;37680630;306503;421010;342279;34021;1391268;393234;6645;31076;0;834540;1044253;780139;404649;45106;3382560;1374175;9283;36169;2;1787274;
1663106186159;37667649;111024;142027;204309;8400;552918;151474;3285;13445;0;228692;62207;90727;78372;3277;328638;96004;1826;5998;1;155092;
1663106186174;37713415;73245;104268;197379;3679;525540;121142;2495;10054;0;131846;117108;110597;77742;6730;592500;156432;2425;9940;0;173029;
1663106186190;37629011;128666;107266;201600;5914;626598;167440;2452;9168;0;171289;22541;33757;16443;2171;167244;35140;848;3077;0;42563;
1663106186206;37708837;108955;114109;203490;5534;460956;139226;2846;9751;0;204635;66089;83541;79380;2393;281988;91272;1478;4995;0;167541;
1663106186221;37686982;105818;116082;197001;5266;411258;136208;2908;10006;0;220348;78752;112765;94185;4506;331986;109052;2183;7103;0;203862;
1663106186237;37702116;104959;103685;187992;4892;412086;131824;2743;8615;0;191062;56639;62680;65835;2115;231624;78349;1353;4035;0;135358;
1663106186252;37602963;2705843;2941585;1575000;18418;14205804;3110041;12161;46051;0;4406078;449943;1247632;604863;10648;3221922;596283;10689;45901;0;2061694;
1663106186268;37671960;101714;103047;187866;6226;412524;126117;2619;8944;0;185573;57667;79644;74214;5713;292590;83117;1575;5301;0;148088;
1663106186284;37743934;73809;77712;114723;3402;383586;107645;1800;6108;0;118299;97842;100721;84546;7274;528102;128266;2557;9237;0;149082;
1663106186299;37640299;127604;121614;204435;7216;545424;164921;2777;10297;0;213526;38727;64912;35973;3672;209646;56002;1569;4460;0;121188;
1663106186315;37690687;128443;125593;219996;6025;721164;166155;3186;11924;0;177914;41836;38245;18585;2000;196836;59245;739;2332;0;64077;
1663106186331;37700265;101814;99495;204120;5048;395070;126485;2602;8229;0;186602;60784;69822;86814;3125;257328;87145;1597;4419;0;146532;
1663106186346;37691295;101695;99121;191016;5064;395580;126878;2628;8421;0;187187;61235;69840;74529;2466;257268;86126;1580;4338;0;143884;
1663106186362;37699128;103429;101347;188244;5633;413118;129637;2677;8537;0;186691;56422;70219;63567;2677;244620;77570;1368;4014;0;137200;
1663106186377;37701556;112618;96968;200781;6499;549222;141726;2965;9841;0;153525;41791;39302;19089;1823;198966;59326;740;2237;0;64518;
1663106186393;37733891;57376;75093;112329;3693;351042;88799;2053;6121;0;106047;116929;101239;84042;5895;538572;148931;2372;8526;0;168122;
1663106186409;37637704;123041;108659;194670;6043;455178;155332;2572;8841;0;209423;41080;70140;69174;5161;228084;63155;1764;5650;0;132737;
1663106186424;37715485;117390;126515;200403;7417;490908;151311;3315;11211;0;221172;64567;101289;85554;6880;330792;98083;1905;6342;0;189137;
1663106186440;37666408;648647;456491;431172;24159;2506806;835363;6246;23425;0;879209;109768;99477;48258;3036;308352;139203;1162;3385;0;216984;
1663106186456;37697011;106133;106234;194985;5363;429366;132230;2823;9288;0;195191;62396;76867;78687;4338;266592;88568;1684;5553;0;158091;
1663106186471;37700976;101767;99268;190827;4820;395118;125430;2605;8262;0;186692;61291;69994;75033;2490;256890;86441;1575;4367;0;144562;
1663106186487;37699788;101810;99696;188622;5095;391656;124528;2632;8353;0;189510;61206;68665;71379;2878;256800;85467;1587;4224;0;143138;
1663106186502;37765879;141642;226956;247905;20493;877350;195039;6583;20663;0;277943;74883;193087;117810;20945;521406;109307;3979;12310;0;237967;
1663106186518;37597567;74346382;72876644;35338716;4558456;297343860;89229663;1373428;4537626;941;129758532;32975919;44736868;21697137;3977081;143565222;43413586;761522;2808716;155;81765892;
1663106186534;37849110;17824381;23746190;11801727;2303676;100883088;25374775;385729;1711866;38;36383250;30073510;34623398;16786161;3064831;166639836;42577913;522902;2410939;53881;50517040;
1663106186549;37728436;206993;607457;571662;29164;2548842;392178;7447;33804;7;504963;648111;1354281;673911;151993;7208718;1003208;23939;93356;3974;1054674;
1663106186565;37561329;155958;214596;425754;13151;1038180;238876;4151;21302;12;280790;41715;105576;84735;8858;312546;72236;1830;7065;0;159023;
1663106186581;37675079;109261;135275;215523;6075;548526;152874;3078;12486;0;214581;130831;174239;128961;13425;813966;135613;2683;13505;0;243341;
1663106186596;37686341;189578;436611;349209;69900;2085564;347264;6683;27448;13;422936;74972;165036;108297;15612;425628;115577;2240;9261;0;253417;
1663106186612;37700720;159308;230426;320859;16390;925134;229901;4727;19309;10;328595;68352;161099;109053;11701;492618;107797;3736;11835;0;213334;
1663106186627;37708355;319299;497891;522774;55931;2442348;272862;8138;32885;8;448825;51468;156212;104706;15031;384132;79718;2576;8676;0;218879;
1663106186643;37704384;3710710;4134916;2137149;301969;23801202;5340820;44938;267941;0;5171467;280915;748888;382851;67926;3501144;558973;9539;38668;0;625713;
1663106186659;37522593;69578;171404;186228;9551;631152;127944;2861;12936;0;205418;121239;163541;79506;12910;726498;177384;2784;13301;0;217714;
1663106186674;37607297;118713;110807;191646;5390;470508;151294;2405;9142;0;203076;41589;75252;67725;3529;251346;65551;1713;5784;0;136393;
1663106186690;37716830;111984;130372;206010;8309;582744;148231;3153;12648;0;198027;56998;69524;33705;3316;246030;81850;1543;4530;0;141663;
1663106186706;37696844;133905;131250;269829;5455;597912;174790;2967;11667;0;224460;41700;68488;69111;2954;226218;62086;1702;5190;0;129237;
1663106186721;37757389;66602;97693;177723;7694;414540;105326;2725;8998;0;139764;117209;104538;101493;5115;482982;149960;2403;8496;0;187810;
1663106186737;37618942;118348;104354;190638;4886;435234;145994;2365;7816;0;201546;41576;64121;68040;2899;213204;61246;1661;4871;0;124646;
1663106186752;37710774;101816;101253;195363;4801;407196;126506;2669;8432;0;185185;57851;72444;78120;3070;257406;81552;1513;4882;0;143711;
1663106186768;37691727;118220;102431;192654;4757;423894;146134;2389;7751;0;204998;42197;63544;71064;2668;216036;63133;1707;4707;0;125203;
1663106186784;37706272;103699;103175;194859;4757;416118;129828;2706;8845;0;188652;56639;73998;75600;6175;254076;79523;1401;3912;0;143438;
1663106186799;37716334;191176;557514;407862;67778;2412960;305467;6079;30773;594;516477;130560;230267;142191;19314;721140;189963;2834;12496;270;354983;
1663106186815;37734384;77621;186775;237447;24160;593568;133737;4335;15448;0;261674;117857;136239;95760;7741;553542;150868;2717;9803;0;200253;
